model_key,model,feature,dimension,spearman_rho,n
gemini-flash,Gemini Flash,overall_pass,completude,0.4425,30
gemini-flash,Gemini Flash,overall_pass,fidelidade,0.0415,30
gemini-flash,Gemini Flash,overall_pass,rastreabilidade,0.6667,30
gemini-flash,Gemini Flash,overall_pass,quality,0.4352,30
gemini-flash,Gemini Flash,completeness_covered,completude,0.4425,30
gemini-flash,Gemini Flash,completeness_covered,fidelidade,0.0415,30
gemini-flash,Gemini Flash,completeness_covered,rastreabilidade,0.6667,30
gemini-flash,Gemini Flash,completeness_covered,quality,0.4352,30
gemini-flash,Gemini Flash,n_missing_aspects,completude,-0.4425,30
gemini-flash,Gemini Flash,n_missing_aspects,fidelidade,-0.0415,30
gemini-flash,Gemini Flash,n_missing_aspects,rastreabilidade,-0.6667,30
gemini-flash,Gemini Flash,n_missing_aspects,quality,-0.4352,30
gemini-flash,Gemini Flash,pct_supported,completude,,30
gemini-flash,Gemini Flash,pct_supported,fidelidade,,30
gemini-flash,Gemini Flash,pct_supported,rastreabilidade,,30
gemini-flash,Gemini Flash,pct_supported,quality,,30
gemini-flash,Gemini Flash,pct_not_supported,completude,,30
gemini-flash,Gemini Flash,pct_not_supported,fidelidade,,30
gemini-flash,Gemini Flash,pct_not_supported,rastreabilidade,,30
gemini-flash,Gemini Flash,pct_not_supported,quality,,30
gemini-flash,Gemini Flash,pct_partial,completude,,30
gemini-flash,Gemini Flash,pct_partial,fidelidade,,30
gemini-flash,Gemini Flash,pct_partial,rastreabilidade,,30
gemini-flash,Gemini Flash,pct_partial,quality,,30
gemini-flash-lite,Gemini Flash-Lite,overall_pass,completude,0.3389,30
gemini-flash-lite,Gemini Flash-Lite,overall_pass,fidelidade,0.0,30
gemini-flash-lite,Gemini Flash-Lite,overall_pass,rastreabilidade,0.4432,30
gemini-flash-lite,Gemini Flash-Lite,overall_pass,quality,0.2947,30
gemini-flash-lite,Gemini Flash-Lite,completeness_covered,completude,0.3389,30
gemini-flash-lite,Gemini Flash-Lite,completeness_covered,fidelidade,0.0,30
gemini-flash-lite,Gemini Flash-Lite,completeness_covered,rastreabilidade,0.4432,30
gemini-flash-lite,Gemini Flash-Lite,completeness_covered,quality,0.2947,30
gemini-flash-lite,Gemini Flash-Lite,n_missing_aspects,completude,-0.3389,30
gemini-flash-lite,Gemini Flash-Lite,n_missing_aspects,fidelidade,0.0,30
gemini-flash-lite,Gemini Flash-Lite,n_missing_aspects,rastreabilidade,-0.4432,30
gemini-flash-lite,Gemini Flash-Lite,n_missing_aspects,quality,-0.2947,30
gemini-flash-lite,Gemini Flash-Lite,pct_supported,completude,0.1534,30
gemini-flash-lite,Gemini Flash-Lite,pct_supported,fidelidade,-0.1001,30
gemini-flash-lite,Gemini Flash-Lite,pct_supported,rastreabilidade,0.3079,30
gemini-flash-lite,Gemini Flash-Lite,pct_supported,quality,0.1078,30
gemini-flash-lite,Gemini Flash-Lite,pct_not_supported,completude,,30
gemini-flash-lite,Gemini Flash-Lite,pct_not_supported,fidelidade,,30
gemini-flash-lite,Gemini Flash-Lite,pct_not_supported,rastreabilidade,,30
gemini-flash-lite,Gemini Flash-Lite,pct_not_supported,quality,,30
gemini-flash-lite,Gemini Flash-Lite,pct_partial,completude,-0.1534,30
gemini-flash-lite,Gemini Flash-Lite,pct_partial,fidelidade,0.1001,30
gemini-flash-lite,Gemini Flash-Lite,pct_partial,rastreabilidade,-0.3079,30
gemini-flash-lite,Gemini Flash-Lite,pct_partial,quality,-0.1078,30
gemini-pro,Gemini Pro,overall_pass,completude,,30
gemini-pro,Gemini Pro,overall_pass,fidelidade,,30
gemini-pro,Gemini Pro,overall_pass,rastreabilidade,,30
gemini-pro,Gemini Pro,overall_pass,quality,,30
gemini-pro,Gemini Pro,completeness_covered,completude,,30
gemini-pro,Gemini Pro,completeness_covered,fidelidade,,30
gemini-pro,Gemini Pro,completeness_covered,rastreabilidade,,30
gemini-pro,Gemini Pro,completeness_covered,quality,,30
gemini-pro,Gemini Pro,n_missing_aspects,completude,,30
gemini-pro,Gemini Pro,n_missing_aspects,fidelidade,,30
gemini-pro,Gemini Pro,n_missing_aspects,rastreabilidade,,30
gemini-pro,Gemini Pro,n_missing_aspects,quality,,30
gemini-pro,Gemini Pro,pct_supported,completude,,30
gemini-pro,Gemini Pro,pct_supported,fidelidade,,30
gemini-pro,Gemini Pro,pct_supported,rastreabilidade,,30
gemini-pro,Gemini Pro,pct_supported,quality,,30
gemini-pro,Gemini Pro,pct_not_supported,completude,,30
gemini-pro,Gemini Pro,pct_not_supported,fidelidade,,30
gemini-pro,Gemini Pro,pct_not_supported,rastreabilidade,,30
gemini-pro,Gemini Pro,pct_not_supported,quality,,30
gemini-pro,Gemini Pro,pct_partial,completude,,30
gemini-pro,Gemini Pro,pct_partial,fidelidade,,30
gemini-pro,Gemini Pro,pct_partial,rastreabilidade,,30
gemini-pro,Gemini Pro,pct_partial,quality,,30
gpt,GPT-5,overall_pass,completude,-0.1185,30
gpt,GPT-5,overall_pass,fidelidade,0.3347,30
gpt,GPT-5,overall_pass,rastreabilidade,-0.2164,30
gpt,GPT-5,overall_pass,quality,0.0467,30
gpt,GPT-5,completeness_covered,completude,-0.1527,30
gpt,GPT-5,completeness_covered,fidelidade,0.172,30
gpt,GPT-5,completeness_covered,rastreabilidade,-0.1048,30
gpt,GPT-5,completeness_covered,quality,-0.0713,30
gpt,GPT-5,n_missing_aspects,completude,0.1572,30
gpt,GPT-5,n_missing_aspects,fidelidade,-0.1656,30
gpt,GPT-5,n_missing_aspects,rastreabilidade,0.1048,30
gpt,GPT-5,n_missing_aspects,quality,0.0773,30
gpt,GPT-5,pct_supported,completude,-0.0927,30
gpt,GPT-5,pct_supported,fidelidade,0.233,30
gpt,GPT-5,pct_supported,rastreabilidade,-0.1946,30
gpt,GPT-5,pct_supported,quality,0.04,30
gpt,GPT-5,pct_not_supported,completude,-0.3239,30
gpt,GPT-5,pct_not_supported,fidelidade,0.0119,30
gpt,GPT-5,pct_not_supported,rastreabilidade,0.0728,30
gpt,GPT-5,pct_not_supported,quality,-0.3082,30
gpt,GPT-5,pct_partial,completude,0.1334,30
gpt,GPT-5,pct_partial,fidelidade,-0.2461,30
gpt,GPT-5,pct_partial,rastreabilidade,0.1947,30
gpt,GPT-5,pct_partial,quality,-0.0083,30
gpt-mini,GPT-5 Mini,overall_pass,completude,0.0358,30
gpt-mini,GPT-5 Mini,overall_pass,fidelidade,0.1355,30
gpt-mini,GPT-5 Mini,overall_pass,rastreabilidade,-0.0301,30
gpt-mini,GPT-5 Mini,overall_pass,quality,0.1177,30
gpt-mini,GPT-5 Mini,completeness_covered,completude,0.2484,30
gpt-mini,GPT-5 Mini,completeness_covered,fidelidade,-0.1569,30
gpt-mini,GPT-5 Mini,completeness_covered,rastreabilidade,0.28,30
gpt-mini,GPT-5 Mini,completeness_covered,quality,0.1774,30
gpt-mini,GPT-5 Mini,n_missing_aspects,completude,-0.2745,30
